a surprising thing|jambo la ajabu
God is the giver.|mpaji Mungu
God is the giver.|mpaji Mungu
She will not be in her office <b>until</b> 10:45; until when/ how long|Hatakuwemo ofisini mwake <b>mpaka</b> saa tano kasa robo; mpaka lini
Amin announced completely arbitrarily that he had changed the borders; With respect to fishing the place that is most highly regarded is that between Kipini and the border of Kenya and Somalia.|Amin alitangaza kwa jeuri kabisa kuwa amebadili mipaka [Nyerere, Masomo 274]; Kwa upande wa uvuvi, sehemu inayosifika sana ni ile kati ya Kipini na mpaka wa Kenya na Somalia [Masomo 155]
it was a little outside the village boundaries|ilikuwa nje kidogo ya mipaka ya kijiji [Mun]
plasterer|mpaka chokaa
plastering|mpako wa chokaa
typesetter.|mpangaji herufi
typesetter.|mpangaji herufi
wild papaya (Melochia melissifolia)|mpapai mwitu
wild papaya (Melochia melissifolia)|mpapai mwitu
"scribbler, poor writer".|mparuzi wa karatasi
"one who saws boards, sawmill worker".|mpasua mbao
atomic bomb explosion.|mipasuko ya bomu la atomiki
atomic bomb explosion.|mipasuko ya bomu la atomiki
atomic bomb explosion.|mipasuko ya bomu la atomiki
myrtle tree (Jambosa vulgaris)|mpera wa kizungu
His eyes didn't see anyone nor a car nearby.  Thus the detective knew that Othman Omari had not returned.|Macho yake hayakuona mtu ye yote, ama gari lo lote hapo karibu.  Hivyo mpelelezi alifahamu kuwa Othman Omari hakuwa amerejea ... [Ganzel Masomo 163]
glutton; a lover of luxury.|mpenda kula; mpenda tamasha
glutton.|mpenda kula
glutton.|mpenda kula
He wants to marry his darling.|Anataka kuoa mpenzi wake.
myrtle tree (Jambosa vulgaris)|mpera wa kizungu
this person is no longer a child but an adult|huyi si mtoto mchanga ni mpevu
photographer|mpiga picha
There must be hundreds of citizens who concern themselves with making shoes and clothing for the soldiers, and food for the fighters, ...|Lazima waweko raia kwa mamia wanaojishughulisha na kutengeneza viatu na nguo za askari, na chakula cha wapiganaji, ... [Nyerere, Masomo 276]
black-pepper plant (Piper nigrum).|mpilipili manga
pol.  reactionary.|mpinga maendeleo
Matata's palm groped in search of the underpants' elastic band|kiganja cha Matata [...] kikipapasa kuutafuta mpira wa chupi [Muk]
her hand twisted a rubber band into the braid; a rubber doll|mikono yake ikisokota gamba la mpira kwenye usukani [Sul], kinyonyo cha mpira [Sul];
sea coast.|mpoa wa bahari
tax collector|mpokea kodi
tax collector|mpokea kodi
tax collector|mpokea kodi
tax collector|mpokea kodi
tax collector|mpokea kodi
tax collector|mpokea kodi
stonemason.|mponda mawa
stonemason|mponda mawa
one who squanders property (money).|mpotevu wa mali [fedha]
one who squanders property (money).|mpotevu wa mali [fedha]
one who squanders property (money)|mpotevu wa mali [fedha]
one who squanders property (money).|mpotevu wa mali [fedha]
one who squanders property (money).|mpotevu wa mali [fedha]
one who squanders property (money)|mpotevu wa mali [fedha]
one who squanders property (money).|mpotevu wa mali [fedha]
one who squanders property (money).|mpotevu wa mali [fedha]
one who squanders property (money)|mpotevu wa mali [fedha]
sea coast.|mpoa wa bahari
This person is foolish/stupid/mentally defective.|mtu huyu mpungufu wa akili
This person is foolish/stupid/mentally defective.|mtu huyu mpungufu wa akili
right angle.|pembe mraba
perpendicular lines|mistari ya mraba
peanut brittle|njugu za mraba
peanut brittle|njugu za mraba
peanut brittle|njugu za mraba
perpendicular lines|mistari ya mraba
perpendicular lines|mistari ya mraba
because s/he is sleeping you shouldn't wake him/her.|mradi amelala msimwamshe
"Since he is asleep, do not wake him up".|mradi amelala msimwamshe
Now s/he is a teacher and has fulfilled her/his goal.|sasa ni mwalimu na ametimiza mradi wake
The projects that are completed are the construction of civil servants' housing.|Miradi inayotekelezwa ni ya ujenzi wa nyumba za watumishi [Masomo 363]
matchlock gun.|bunduki ya mrao
"sprinkle, drizzle (of rain)".|mrasharasha wa mvua
"sprinkle, drizzle (of rain)".|mrasharasha wa mvua
commission business.|biashara ya mrejaa
commission business.|biashara ya mrejaa
Haiba is more beautiful than any other girl|Haiba ni mrembo kuliko wasichana wote
the first Portuguese person to arrive in Mombasa was Vasco da Gama in 1498|mreno wa kwanza kufika Mombasa alikuwa Vasco da Gama katika mwaka wa 1498
the parts of the coastal littoral that are close to the center of the country|sehemu za mrima zilizo karibu na katikati ya nchi [Masomo 5]
My heirs, according to Kimara customs and traditions, who are they?|Warithi wangu, kufuatana na ada na desturi za Kimara, ni akina nani?  [Chacha, Masomo 381]
financial aid|msaada wa fedha
political (religious) questions.|masahala ya siasa (dini)
I met a big crowd of people coming from the football game.|nimekutana na msafara wa watu wakitoka mpirani
latrine cleaner.|msafishaji choo
Grades are given independently of the grader.|Maksi hutolewa bila kutegemea msahihishaji [Masomo 191]
vice-chairman|mwenyekiti msaidizi
He went, wherever he went, even to the bathroom, in his bare feet.|alikwenda aendako , hata msalani , na miguu yake uchi [Abd]
go to the toilet.|enda msalani
sign of the Cross.|ishara ya msalaba
The guest is using the bathroom.|Mgeni yupo msalani.
the teacher is in the lavatory|mwalimu yuko msalani
Their ancestor brought them abundance and forgiveness for the sins they committed.|Mzimu wao aliwaletea neema na msamaha wa dhambi walizozitenda [Masomo 311]
The Kiswahili Council has continued to produced new word-lists.|Baraza la Kiswahili limeendelea kutoa misamiati mipya [Masomo 361]
blacksmith|msana chuma
blacksmith.|msana chuma
In addition to being a verbal artists a Swahili poet is a protector of Swahili culture.|Zaidi ya kuwa msanifu wa lugha, mshairi wa Kiswahili ni mlinzi wa utamaduni wa Kiswahili [Khan, Masomo 394-5]
His surprises and amazements, He is the greatest artist.|Shani zake na mizungu, ni Bwana wa wasanifu [Shaaban Robert, Masomo 425]
This table is not smooth (has not been well sanded)|meza hii haikupigwa msasa vizuri
The speaker at this meeting.|msemaji wa mkutano huu
The speaker at this meeting.|msemaji wa mkutano huu
Their spokesman.|msemi wao
Italian Prime Minister Silvio Berlusconi has resigned and is preparing to form a new right-wing coalition government|Waziri Mkuu wa Italia Silvio Berlusconi amejiuzulu na kujiandaa kuunda serikali mpya ya mrengo wa kulia ya mseto [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 20 Aprili 2005</a>]
He is an enthusiast of playing cards|mtu huyu mshabiki sana wa karata
A Swahili poet has many reasons to compose poetry.|Mshairi wa Kiswahili ana sababu nyingi zinazomfanya atunge mashairi [Khan, Masomo 391]; kuna mshairi aliyeimba ... [Mt]
They grabbed bows and arrows to drive out the strangers; poisoned arrow.|Walishika pinde na mishale kuwafukuza wageni [Masomo 205]; mshale wa sumu
ray of sunlight.|mshale wa nuru
the watch hand that was shining in the dark showed 3 o'clock.|mishale inayong'aa gizani inaonyesha saa tisa [Muk]
Here she is showing amazement,|Huku akionyesha mshangao [Chacha, Masomo 374]
business partner|mshirika biashara
business partner|mshirika biashara
legal counsel|mshauri wa mambo ya sheria
government delegate.|mshauri wa upande wa serikali
government representative|mshauri wa upande wa serikali
oblique line|mstari wa mshazari
nondescript person.|mtu mshenzi
an uncivilized person; Since the distant past that bird has grasped people's whispers and has begun to insult uncivilized people like me.|mtu mshenzi; Toka zama za kale, huyu ndege hushika minong'ono ya watu na kuanza kukebehi washenzi kama mimi [Chacha, Masomo 378].
uncouth person|mtu mshenzi
"sport, rare: referee, umpire".|mshika filimbi
"sport, rare: referee, umpire".|mshika filimbi
the count of the vote and the announcement of the winner|kuhesabiwa wa kura na kutangazwa kwa mshindi [Masomo 104]
the noise of people in a crowd.|mshindo wa watu walio [katika mkutano] mkutanoni
the trample of horses.|mshindo wa miguu ya farasi
the noise of people in a crowd.|mshindo wa watu walio [katika mkutano] mkutanoni
"neuralgia, sciatica".|maradhi ya mshipa
the pulse beats.|mshipa unapiga
business partner|mshirika biashara
business partner|mshirika biashara
business partner|mshirika biashara
business partner|mshirika biashara
"tailor, dressmaker".|mshona nguo
shoemaker|mshoni wa viatu
shoemaker|mshoni wa viatu
sunset|mshuko wa jua
We extend great sympathy to their families and join with them in this grief; be overcome by grief.|Tunatoa pole nyingi kwa jamaa zao na tunaungana nao katika msiba huo [Nyerere, Masomo 281]; kushikwa [kupatwa] na msiba mkuu [ mkubwa]
be overcome by great sadness.|shikwa [patwa] na msiba mkuu [ mkubwa]
"toady, sycophant, lickspittle".|msifu mno
we went to the <b>mosque</b> to pray|tulikwenda <b>msikiti</b>ni kusali
the voting supervisor|msimamizi wa uchaguzi [Masomo 100]
As I see it you understand my position, or don't you, my husband?|Nami nijuavyo ni kwamba msimamo wangu unaufahamu; au sivyo, bwana?
now is the mango-harvesting period.|sasa ni msimu wa embe
now is the mango-harvesting season.|sasa ni msimu wa embe
<b>Reporters</b> ask questions and write articles.|<b>Wasimulizi</b> huwa wanuliza maswali na wakaandika nakala.
lay the cornerstone/foundation.|jenga msingi
primary school|shule ya msingi
lay the cornerstone/foundation.|jenga msingi
reader of a newspaper.|msoma gazeti
drive (pull out) a nail.|pigilia [ng'oa] msumari
drive (pull out) a peg.|pigilia [ng'oa] msumari
drive (pull out) a pin.|pigilia [ng'oa] msumari
one who presses forward.|msonga mbele
The wanted to reduce the crowd of passengers,|Walitaka kupunguza msongamano wa abiria [Masomo 218]
one who presses forward.|msonga mbele
Absolute repose/comfort.|raha mustarehe
Absolute repose/comfort.|raha mustarehe
Absolute repose/comfort.|raha mustarehe
"poke, nudge".|piga msubukuo
mat-weaver|msuka mikeka
(women's) hairdresser.|msusi wa nywele.
mat-weaver|msuka mikeka
(women's) hairdresser.|msusi wa nywele.
(women's) hairdresser.|msusi wa nywele.
(women's) hairdresser.|msusi wa nywele.
It's essential that we act in accordance with what is wanted by the family, whether it's good or bad so that we can live without conflicts and disturbances.|Inabidi tufuate pendekezo la jamii, na liwe jema au baya ili tupate kuishi bila ya migongano na misukosuko [Chacha, Masomo 379]
drive (pull out) a peg.|pigilia [ng'oa] msumari
drive (pull out) a pin.|pigilia [ng'oa] msumari
to saw.|piga [kata kwa] msumeno
(women's) hairdresser.|msusi wa nywele.
(women's) hairdresser.|msusi wa nywele.
live in the same part of town (be neighbors)|kaa mtaa mmoja
he had to pass through the Vibyongoni neighborhood, a neighborhood that was built on the slope of a hill|ilimbidi apite mtaa wa Vibyongoni, mtaa ambao ulijengwa kwenye mtelemko wa mlima [Sul]
Many European experts did not have an opportunity to know the truth about African life and civilization.|Wataalamu wengi wa Ulaya hawakupatiwa nafasi ya kujua ukweli juu ya maisha na ustaarabu wa Wafrika [Kenyatta Masomo 114]
astute writer.|mwandishi mtaalamu
finger-print specialists; Geography specialists say that the world is round.|wataalamu wa alama za vidole [Ganzel Masomo 171]; Wataalamu was jiografia husema kwamba eti dunia ni mviringo [Masomo 416]
meteorologist.|mtabiri wa hewa
general council|mtaguso mkuu
general council|mtaguso mkuu
to scratch.|piga mtai
"We live in a world of competition for everything, in competition to attract capital and investments, competition for employment, and business competition." Benjamin William Mkapa, 1 May 2001.|"Tunaishi katika dunia ya ushindani kwenye kila jambo, ikiwemo ushindani katika kuvutia mitaji na vitegauchumi, ushindani wa ajira, na ushindani wa biashara." <a href="http://www.tanzania.go.tz/hotuba.htm" target="blank">Benjamin William Mkapa</a>, 1 Mei 2001.
he who asks for everything receives nothing (proverb)|mtaka wote hukosa yote (methali)
The <b>tourist</b> did not visit Tanzania.|<b>Mtalii</b> hakutembelea Tanzania.
where there are many chickens one should not spill sorghum|penye kuku wengi usimwage mtama
heifer.|mtamba wa ng'ombe
works of a watch/clock; refrigerator.|mtambo wa saa; mtambo wa barafu
radio transmitter.|mtambo wa kupiga chapa
lock/action of a gun.|mtambo wa bunduki
"spreader of lies, gossip, talebearer".|mtanda miongo
The <b>reporter</b> wrote a story about the market that was being built by the residents of the village.|<b>Mtangazaji</b> aliandika hadithi kuhusu soko lililokuwa linajengwa na wazaliwa wa kijiji.
He can't be angry; he is my mtani)|hawezi kukasirika, kwa sababu ni mtani wangu
The Portuguese themselves thought of themselves more as spreaders of Christianity than as representatives of Portugal.|Wareno walijifikiria nafsi zao kuwa ni watapakazaji wa Ukristo kuliko kuwa wajumbe wa Ureno [Masomo 142].
We wrote letters to people in positions of authority|Tuliandikia barua kwa watawala.
"autocrat, absolute monarch".|mtawala mmoja
The Europeans who were here, whether they were rulers, missionaries or settlers, never made an effort to understand Africans.|Wazungu waliokuwa hapa, wakiwa watawala, wahubiri wa dini na masetla, hawakujitahidi kamwe kuwafahamu Waafrika [Kenyatta Masomo 114]
"autocrat, absolute monarch".|mtawala mmoja
"autocrat, absolute monarch".|mtawala mmoja
"autocrat, absolute monarch".|mtawala mmoja
"autocrat, absolute monarch".|mtawala mmoja
Chache looks at the audience members.|Chahe anawaangalia watazamaji [Chacha, Masomo 383]
lay mines.|fichia mtego
"water carrier, one who draws water".|mteka maji
he travels a great deal|huyu ni mtembezi sana
street walker|mwanamke mtembezi
rare: worker.|mtenda kazi
hard worker|mtendaji kazi
hard worker.|mtendaji kazi
"dismissal, discharge (from a position/job)".|mtengo katika kazi
"dismissal, discharge (from a position/job)".|mtengo katika kazi
"dismissal, discharge (from a position/job)".|mtengo katika kazi
"bring to a boil, parboil".|pika mteo
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
earthquake|mtetemko wa nchi
telephone pole|mti wa simu
dry wood|mti mkavu
painter|mtia rangi
painter|mtia rangi
painter|mtia rangi
painter|mtia rangi
get into a difficult situation|kutana na mtihani
when she passed her test from grade four|aliposhinda mtihani wake wa darasa la nne [Kez]
Their child is obedient|Mtoto wao ni mtiifu.
These clothes are of the same quality as those.|nguo hizi ni mtindo wa zile
His trousers had been cut following the "beach-comber"style.|Suruali yake ilikuwa imekatwa kuchukua mtindo wa "bichi koma" [Balisidya Masomo 343]
The answer to all of these issues is to use new ways to compose questions; The way to do things today, is for people to do them together as equals.|Jawabu kwa mambo yote hayo ni kutumia mitindo mipya ya kutunga maswali [Masomo 189]; Mtindo wa siku hizi, watu ni bega kwa bega [Amana, Masomo 405]
editor/publisher of newspaper.|mtoa gazeti
"pharmacist, druggist".|mtoa dawa
editor of a newspaper.|mtoaji wa gazeti
the fourth day from today.|kushinda mtondo
This is a person who shows too little respect (where it is due).|huyu ni mtovu wa heshima
